"submission_id"	"dataset_id"	"collection_id"	"collection_title"	"pi_list"
"submission_id"	"dataset_id"	"collection_id"	"collection_title"	"pi_list"
"52140"	"55066"	"2343"	"Osteoarthritis Initiative"	"Multiple"
"52285"	"55215"	"2343"	"Osteoarthritis Initiative"	"Multiple"
"48563"	"51169"	"2343"	"Osteoarthritis Initiative"	"Multiple"
"48619"	"51230"	"2343"	"Osteoarthritis Initiative"	"Multiple"
"62133"	"68025"	"2343"	"Osteoarthritis Initiative"	"Multiple"
"48569"	"51175"	"2343"	"Osteoarthritis Initiative"	"Multiple"
"52141"	"55067"	"2343"	"Osteoarthritis Initiative"	"Multiple"
"53335"	"56860"	"2343"	"Osteoarthritis Initiative"	"Multiple"
"53165"	"56542"	"2343"	"Osteoarthritis Initiative"	"Multiple"
"52061"	"54985"	"2343"	"Osteoarthritis Initiative"	"Multiple"
"52142"	"55068"	"2343"	"Osteoarthritis Initiative"	"Multiple"
"49943"	"52783"	"2343"	"Osteoarthritis Initiative"	"Multiple"
"52156"	"55082"	"2343"	"Osteoarthritis Initiative"	"Multiple"
"52358"	"55288"	"2343"	"Osteoarthritis Initiative"	"Multiple"
"52783"	"55717"	"2343"	"Osteoarthritis Initiative"	"Multiple"
"53754"	"57902"	"2343"	"Osteoarthritis Initiative"	"Multiple"
